"60","nati",nati,Feminine,3i,ナティ,Nati
"61","nābhi",nābhi,Feminine,3i,ネーブル,Navel
"62","nāri",nāri,Feminine,3i,女性,Woman
"63","niṣatti",niṣatti,Feminine,3i,ニシャッティ,Nishatti
"64","pakti",pakti,Feminine,3i,行,Row
"65","pañcamīvibhakti",pañcamīvibhakti,Feminine,3i,5番目の屈折,fifth_inflection
"66","pariṇīti",pariṇīti,Feminine,3i,結婚,Marriage
"67","pariṣṭhiti",pariṣṭhiti,Feminine,3i,状況,The situation
"68","pārṣṇi",pārṣṇi,Feminine,3i,ヒール,Heel
"69","pāli",pāli,Feminine,3i,パリ,Pali
"70","puṣṭi",puṣṭi,Feminine,3i,確認,Confirmation
"71","pṛṣṭi",pṛṣṭi,Feminine,3i,プリシュティ,Prishti
"72","pratīti",pratīti,Feminine,3i,感知,Perception
"73","prathamāvibhakti",prathamāvibhakti,Feminine,3i,1番目の屈折,first_inflection
"74","prasiddhi",prasiddhi,Feminine,3i,名声,fame
"75","prīti",prīti,Feminine,3i,愛する,Love
"76","bālakeli",bālakeli,Feminine,3i,バルケリ,Balkeli
"77","buddhi",buddhi,Feminine,3i,知能,Intelligence
"78","bhakti",bhakti,Feminine,3i,献身,devotion
"79","bhitti",bhitti,Feminine,3i,壁,wall
"80","bhūmi",bhūmi,Feminine,3i,接地,ground
"81","bhṛti",bhṛti,Feminine,3i,雇用,hire
"82","bhṛṣṭi",bhṛṣṭi,Feminine,3i,スパイク,spike
"83","mati",mati,Feminine,3i,目的,intention
"84","marīyami",marīyami,Feminine,3i,マリアム,Maryam
"85","maṣi",maṣi,Feminine,3i,マシ,Mashi
"86","masi",masi,Feminine,3i,インク,Ink
"87","māti",māti,Feminine,3i,マティ,Mati
"88","meni",meni,Feminine,3i,メニ,Meni
"89","yukti",yukti,Feminine,3i,騙す,trick
"90","yuvati",yuvati,Feminine,3i,若い女性,Young woman
"91","yūni",yūni,Feminine,3i,ユニ,Uni
"92","raṃhati",raṃhati,Feminine,3i,滞在します,stays
"93","raṃhi",raṃhi,Feminine,3i,ランヒ,Ranhi
"94","raji",raji,Feminine,3i,方向,"direction "
"95","rati",rati,Feminine,3i,ラティ,Rati
"96","rāti",rāti,Feminine,3i,夜,Night
"97","rātri",rātri,Feminine,3i,夜,Night
"98","rāddhi",rāddhi,Feminine,3i,ラディ,Raddhi
"99","rīti",rīti,Feminine,3i,リティ,Riti
"100","lipi",lipi,Feminine,3i,脚本,Script
"101","vasati",vasati,Feminine,3i,住む,lives in
"102","vāṇi",vāṇi,Feminine,3i,声,Voice
"103","vitasti",vitasti,Feminine,3i,配布されます,It is distributed
"104","vinati",vinati,Feminine,3i,お願いします,Please
"105","vibhakti",vibhakti,Feminine,3i,屈曲,Inflection
"106","visṛṣṭi",visṛṣṭi,Feminine,3i,解散,Dissolution
"107","vīci",vīci,Feminine,3i,ヴィチ,Vichi
"108","vīti",vīti,Feminine,3i,ヴィティ,Viti
"109","vṛti",vṛti,Feminine,3i,柵,fence
"110","vṛtti",vṛtti,Feminine,3i,本能,Instinct
"111","vṛddhi",vṛddhi,Feminine,3i,成長,growth
"112","vyuṣṭi",vyuṣṭi,Feminine,3i,最初のきらめきまたは夜明け、夜明け、結果、果物、優雅さ、美しさ、増加、繁栄、幸福、賛美歌、賞賛,"first gleam or breaking of dawn, daybreak, consequence, fruit, grace, beauty, increase, prosperity, felicity, hymn, praise"
"113","śakti",śakti,Feminine,3i,パワー,power
"114","śānti",śānti,Feminine,3i,平和,Peace
"115","śupti",śupti,Feminine,3i,寝る,Sleep
"116","śruti",śruti,Feminine,3i,聞く、耳、うわさ、報告、ニュース、知性、聞き取り、言う、言葉,"hearing, listening, ear, rumour, report, news, intelligence, hearsay, saying, word"
"117","ṣaṣṭhīvibhakti",ṣaṣṭhīvibhakti,Feminine,3i,6番目の屈折,sixth_inflection
"118","satti",satti,Feminine,3i,サッティ,Satti
"119","saptamīvibhakti",saptamīvibhakti,Feminine,3i,7番目の屈折,seventh_inflection
"120","samṛddhi",samṛddhi,Feminine,3i,繁栄,prosperity
"121","sampatti",sampatti,Feminine,3i,財産,Property
"122","sampīti",sampīti,Feminine,3i,コンペ,Competition
"123","suūti",suūti,Feminine,3i,スーティ,Suuti
"124","sūryakānti",sūryakānti,Feminine,3i,日光,Sunshine
"125","sṛṣṭi",sṛṣṭi,Feminine,3i,創造,Creation
"126","stuti",stuti,Feminine,3i,賞賛,Praise
"127","stṛti",stṛti,Feminine,3i,打ち倒し、転覆,"striking down, overthrowing "
"128","sthiti",sthiti,Feminine,3i,位置,Position
"129","sphic",sphic,Feminine,3con,尻、臀部,"buttock, hip"
"130","sphij",sphij,Feminine,3con,尻、臀部,"buttock, hip"
"131","hati",hati,Feminine,3i,ハティ,Hati
"132","hrāduni",hrāduni,Feminine,3i,フラドゥニ,Hraduni
