"1751","kelis",keli,Masculine,3i,ケリー,Kelly
"1752","kaurpis",kaurpi,Masculine,3i,カウルピ,Kaurpi
"1753","gaṇapatis",gaṇapati,Masculine,3i,ガンパティ,Ganpati
"1754","gabhastis",gabhasti,Masculine,3i,腕、手、光線、太陽光線、太陽,"arm, hand, ray of light, sunbeam, sun"
"1755","giris",giri,Masculine,3i,ギリ,Giri
"1756","gṛhapatis",gṛhapati,Masculine,3i,世帯主,The householder
"1757","granthis",granthi,Masculine,3i,腺,Glands
"1758","cintāmaṇis",cintāmaṇi,Masculine,3i,ちんたまに,Chintamani
"1759","chedis",chedi,Masculine,3i,穴,hole
"1760","jāspatis",jāspati,Masculine,3i,ジャスパティ,Jaspati
"1761","jūtis",jūti,Masculine,3i,靴,Shoes
"1762","jñātis",jñāti,Masculine,3i,親族,Relatives
"1763","tithis",tithi,Masculine,3i,日にち,Date
"1764","dampatis",dampati,Masculine,3i,カップル,Couple
"1765","drāpis",drāpi,Masculine,3i,ドラピ,Drapi
"1766","dhvanis",dhvani,Masculine,3i,音,sound
"1767","nadīpatis",nadīpati,Masculine,3i,リバーマスター,Rivermaster
"1768","nis",ni,Masculine,3i,,
"1769","nidhis",nidhi,Masculine,3i,宝物,treasure
"1770","patis",pati,Masculine,3i,夫,husband
"1771","pāṇis",pāṇi,Masculine,3i,パニ,Pani
"1772","pādagranthis",pādagranthi,Masculine,3i,足腺,The foot gland
"1773","pūtis",pūti,Masculine,3i,プティ,Puti
"1773","prajāpatis",prajāpati,Masculine,3i,プラジャパティ,Prajapati
"1774","pluṣis",pluṣi,Masculine,3i,ぬいぐるみ,Plush
"1775","bahuvrīhis",bahuvrīhi,Masculine,3i,複数,Plural
"1776","bṛhaspatis",bṛhaspati,Masculine,3i,木星,Jupiter
"1777","bhavantis",bhavanti,Masculine,3i,彼らはそれらです,They are the ones
"1778","maṇis",maṇi,Masculine,3i,マニ,Mani
"1779","marīcis",marīci,Masculine,3i,コショウ,Pepper
"1780","munis",muni,Masculine,3i,ムニ,Muni
"1781","muṣṭis",muṣṭi,Masculine,3i,拳,Fist
"1782","yatis",yati,Masculine,3i,ヤティ,Yati
"1783","yājis",yāji,Masculine,3i,ヤジ,Yazi
"1784","yonis",yoni,Masculine,3i,膣,Vagina
"1785","rayis",rayi,Masculine,3i,財産、商品、所有物、宝物、富、もの、材料,"property, goods, possessions, treasure, wealth, stuff, materials "
"1786","raśmis",raśmi,Masculine,3i,ラシュミ,Rashmi
"1787","rājis",rāji,Masculine,3i,ストリーク,streak
"1788","rāśis",rāśi,Masculine,3i,額,Amount
"1789","rāṣṭrapatis",rāṣṭrapati,Masculine,3i,大統領,president
"1790","vastis",vasti,Masculine,3i,下腹、腹部、骨盤,"lower belly, abdomen, pelvis"
"1791","vis",vi,Masculine,3i,鳥,"bird "
"1792","vibhūtis",vibhūti,Masculine,3i,灰,ash
"1793","viśpatis",viśpati,Masculine,3i,集落または部族の長、家または人々の主,"the chief of a settlement or tribe, lord of the house or of the people"
"1794","vṛṣṇis",vṛṣṇi,Masculine,3i,御羊、牡牛、光線、空気、風,"ram, bull, ray of light, air, wind"
"1795","vedis",vedi,Masculine,3i,祭壇,Altar
"1796","śanis",śani,Masculine,3i,土曜日,Saturday
"1797","śākyamunis",śākyamuni,Masculine,3i,しゃしゃむに,Shakyamuni
"1798","śālis",śāli,Masculine,3i,シャリ,Shali
"1799","śucis",śuci,Masculine,3i,掃除,Clean
"1800","śroṇis",śroṇi,Masculine,3i,骨盤,Pelvis
"1801","sakhis",sakhi,Masculine,3i,サキ,Sakhi
"1802","sadaspatis",sadaspati,Masculine,3i,サダスパティ,Sadaspati
"1803","sandhis",sandhi,Masculine,3i,条約,Treaty
"1804","sabhāpatis",sabhāpati,Masculine,3i,会長,The Chairman
"1805","sahasradīdhitis",sahasradīdhiti,Masculine,3i,太陽、恒星,sun
"1806","haris",hari,Masculine,3i,ハリ,Hari
"1807","hetis",heti,Masculine,3i,埋め込む,implement
"1808","helis",heli,Masculine,3i,ヘリ,Heli
